2026-06-17 13:15:16 | DEBUG | C06 | KAFKA_BOOTSTRAP_SERVERS           = localhost:9092
2026-06-17 13:15:16 | DEBUG | C06 | KAFKA_BROKER_ADDRESS_FAMILY       = v6
2026-06-17 13:15:16 | DEBUG | C06 | KAFKA_TOPIC                       = streaming-06-scenarios-case
2026-06-17 13:15:16 | DEBUG | C06 | KAFKA_CLEAR_TOPIC_ON_START        = true
2026-06-17 13:15:16 | DEBUG | C06 | PRODUCER_MESSAGE_COUNT            = 3
2026-06-17 13:15:16 | DEBUG | C06 | PRODUCER_MESSAGE_INTERVAL_SECONDS = 2
2026-06-17 13:15:16 | DEBUG | C06 | PRODUCER_MAX_MESSAGES             = 50
2026-06-17 13:15:16 | DEBUG | C06 | PRODUCER_POLL_INTERVAL_SECONDS    = 15
2026-06-17 13:15:16 | DEBUG | C06 | KAFKA_GROUP_ID                    = streaming-consumer-group-A
2026-06-17 13:15:16 | DEBUG | C06 | KAFKA_AUTO_OFFSET_RESET           = earliest
2026-06-17 13:15:16 | DEBUG | C06 | CONSUMER_TIMEOUT_SECONDS          = 10
2026-06-17 13:15:16 | DEBUG | C06 | CONSUMER_MAX_MESSAGES             = 1000
2026-06-17 13:15:16 | DEBUG | P06 | KAFKA_BOOTSTRAP_SERVERS           = localhost:9092
2026-06-17 13:15:16 | DEBUG | P06 | KAFKA_BROKER_ADDRESS_FAMILY       = v6
2026-06-17 13:15:16 | DEBUG | P06 | KAFKA_TOPIC                       = streaming-06-scenarios-case
2026-06-17 13:15:16 | DEBUG | P06 | KAFKA_CLEAR_TOPIC_ON_START        = true
2026-06-17 13:15:16 | DEBUG | P06 | PRODUCER_MESSAGE_COUNT            = 3
2026-06-17 13:15:16 | DEBUG | P06 | PRODUCER_MESSAGE_INTERVAL_SECONDS = 2
2026-06-17 13:15:16 | DEBUG | P06 | PRODUCER_MAX_MESSAGES             = 50
2026-06-17 13:15:16 | DEBUG | P06 | PRODUCER_POLL_INTERVAL_SECONDS    = 15
2026-06-17 13:15:16 | DEBUG | P06 | KAFKA_GROUP_ID                    = streaming-consumer-group-A
2026-06-17 13:15:16 | DEBUG | P06 | KAFKA_AUTO_OFFSET_RESET           = earliest
2026-06-17 13:15:16 | DEBUG | P06 | CONSUMER_TIMEOUT_SECONDS          = 10
2026-06-17 13:15:16 | DEBUG | P06 | CONSUMER_MAX_MESSAGES             = 1000
